Episode,Reward,Time(s),Steps,Collisions,Epsilon
1,-650,6.78,150,50,0.995
2,-371,5.59,121,35,0.99
3,-578,7.49,158,42,0.985
4,-569,6.85,159,41,0.98
5,-479,6.79,169,31,0.975
6,-587,6.79,157,43,0.97
7,-614,6.79,154,46,0.966
8,-506,6.77,166,34,0.961
9,-479,7.08,169,31,0.956
10,-551,7.53,161,39,0.951
11,-668,8.63,148,52,0.946
12,-614,6.94,154,46,0.942
13,-308,6.79,188,12,0.937
14,-668,6.78,148,52,0.932
15,-479,7.64,169,31,0.928
16,-255,6.27,165,19,0.923
17,-149,3.6,89,16,0.918
18,-515,6.79,165,35,0.914
19,-401,6.03,141,36,0.909
20,-524,6.79,164,36,0.905
21,-499,6.61,149,45,0.9
22,-677,6.76,147,53,0.896
23,-713,6.78,143,57,0.891
24,-506,6.78,166,34,0.887
25,-560,6.79,160,40,0.882
26,-533,6.79,163,37,0.878
27,-677,6.77,147,53,0.873
28,-695,6.78,145,55,0.869
29,-506,6.79,166,34,0.865
30,-587,7.72,157,43,0.86
31,-506,6.77,166,34,0.856
32,-113,3.9,103,11,0.852
33,-677,6.77,147,53,0.848
34,-434,6.79,174,26,0.843
35,-87,2.71,67,12,0.839
36,-99,2.51,59,14,0.835
37,-452,6.78,172,28,0.831
38,-389,6.78,179,21,0.827
39,-452,6.79,172,28,0.822
40,-177,3.62,87,19,0.818
41,-614,6.78,154,46,0.814
42,-191,4.71,121,17,0.81
43,-291,4.13,91,30,0.806
44,-247,4.17,97,25,0.802
45,-65,2.27,55,11,0.798
46,-470,6.78,170,30,0.794
47,-479,6.78,169,31,0.79
48,-605,6.79,155,45,0.786
49,-488,6.78,168,32,0.782
50,-632,6.78,152,48,0.778
51,-265,2.96,55,31,0.774
52,-623,6.79,153,47,0.771
53,-515,6.8,165,35,0.767
54,-49,2.04,49,10,0.763
55,-497,6.78,167,33,0.759
56,-179,3.69,89,19,0.755
57,-515,6.78,165,35,0.751
58,-81,2.51,61,12,0.748
59,-163,3.76,93,17,0.744
60,-161,2.78,61,20,0.74
61,-389,6.79,179,21,0.737
62,-533,6.79,163,37,0.733
63,-542,6.78,162,38,0.729
64,-273,4.44,103,27,0.726
65,-243,4.33,103,24,0.722
66,-141,3.62,91,15,0.718
67,-55,1.93,45,11,0.715
68,-461,6.79,171,29,0.711
69,-263,7.19,163,20,0.708
70,-447,5.76,127,42,0.704
71,-488,6.79,168,32,0.701
72,-209,5.33,139,17,0.697
73,-17,1.56,37,8,0.694
74,-107,2.78,67,14,0.69
75,-189,3.44,79,21,0.687
76,-293,5.74,143,25,0.683
77,-515,6.79,165,35,0.68
78,-15,1.8,45,7,0.676
